genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,significance
AT5G04120,456.567150497912,3.62660114043541,0.246267853713027,14.726246587837,4.37330188749147e-49,9.870979690257e-45,44.0056397416609,Significantly upregulated
AT2G28780,1964.39827966879,-3.6309644516261,0.329551452002314,-11.017898508912,3.13287741447975e-28,3.53560880611112e-24,23.451535793078,Significantly downregulated
AT1G62280,217.834524247056,-3.90151508736021,0.355877287847682,-10.9630909883467,5.75012230905869e-28,4.32620035459213e-24,23.3638933714252,Significantly downregulated
AT1G32450,5241.02715637136,-3.46831217889907,0.320104733079689,-10.834929385551,2.35146762183149e-27,1.32687439230896e-23,22.877170187391,Significantly downregulated
AT1G30530,708.295307266527,2.0336821421814,0.193899750704247,10.4883174671191,9.77535846794607e-26,4.41279231960022e-22,21.3552865113867,Significantly upregulated
AT1G15380,739.457654997899,-2.71485481751196,0.260161263002502,-10.435276897798,1.7111413875461e-25,6.43702870971716e-22,21.1913145538749,Significantly downregulated
AT2G33380,1472.89159370066,2.02661154481553,0.196079542919418,10.335660286848,4.86053085660354e-25,1.56724345663426e-21,20.8048635346991,Significantly upregulated
AT2G01530,1043.10200394304,-1.92433433975468,0.189281545973189,-10.1665185048059,2.79728768192222e-24,7.8921975335833e-21,20.1028020533398,Significantly downregulated
AT5G20250,8330.86597511403,-1.56785582977024,0.157876409513855,-9.9309062994155,3.05466360635691e-23,7.66075691767576e-20,19.1157283179745,Significantly downregulated
AT1G10370,474.819595674078,1.87010905843321,0.188709710210652,9.90997790386966,3.76729482558564e-23,8.50316115082934e-20,19.0704195901516,Significantly upregulated
AT5G63160,756.367142989724,-2.2986364507125,0.235044337372683,-9.77958659377451,1.37772121817629e-22,2.82695869231428e-19,18.5486805374005,Significantly downregulated
AT5G19890,1623.98205329363,-2.68376502460945,0.278671205752901,-9.63057886572303,5.93939375891983e-22,1.11715047110483e-18,17.9518883270014,Significantly downregulated
AT2G28670,1985.96975821342,-1.690365254907,0.179505695323597,-9.41677784573776,4.65142962042172e-21,8.07595522788758e-18,17.0928060973974,Significantly downregulated
AT2G34810,233.430354984116,2.25741944167587,0.243521055435585,9.26991482374301,1.86294633279275e-20,3.00346869124752e-17,16.5223768908647,Significantly upregulated
AT3G02850,170.861663764964,-2.64383734074812,0.294594643552703,-8.97449223402168,2.84661719300676e-19,4.28339977755704e-16,15.3682113902113,Significantly downregulated
AT5G59780,1291.39673724199,-2.53271163473906,0.284751929004663,-8.89444943741747,5.87096330330395e-19,7.79491251287491e-16,15.1081887548034,Significantly downregulated
AT3G01260,518.454452556751,-2.41482488638329,0.273153456031307,-8.84054304664011,9.52544790441004e-19,1.19443824805799e-15,14.922836298171,Significantly downregulated
