genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue
AT5G04120,456.567150497913,3.6266011404354,0.246267853712839,14.7262465878483,4.37330188676503e-49,9.87097968861736e-45,44.005639741733
AT2G28780,1964.39827966879,-3.63096445162617,0.329551451993471,-11.0178985092079,3.13287740418407e-28,3.53560879449193e-24,23.4515357945053
AT1G62280,217.834524247056,-3.90151508736126,0.355877287841344,-10.963090988545,5.75012229646201e-28,4.3262003451148e-24,23.3638933723766
AT1G32450,5241.02715637136,-3.46831217889911,0.320104733071238,-10.8349293858371,2.3514676144802e-27,1.32687438816082e-23,22.8771701887488
AT1G30530,708.295307266527,2.03368214218146,0.193899750706729,10.4883174669852,9.77535848180313e-26,4.41279232585557e-22,21.3552865107711
AT1G15380,739.4576549979,-2.71485481751206,0.260161262999139,-10.4352768979333,1.7111413851089e-25,6.43702870054883e-22,21.1913145544935
AT2G33380,1472.89159370065,2.02661154481555,0.196079542920454,10.3356602867934,4.86053085936789e-25,1.56724345752561e-21,20.8048635344521
AT2G01530,1043.10200394304,-1.92433433975464,0.189281545975263,-10.1665185046942,2.79728768512748e-24,7.89219754262654e-21,20.1028020528422
AT5G20250,8330.86597511404,-1.56785582977024,0.157876409517765,-9.93090629916957,3.05466361389156e-23,7.66075693657183e-20,19.1157283169033
AT1G10370,474.819595674078,1.8701090584333,0.188709710214849,9.90997790364974,3.76729483387821e-23,8.5031611695465e-20,19.0704195891957
AT5G63160,756.367142989724,-2.29863645071256,0.235044337371265,-9.77958659383376,1.3777212173698e-22,2.82695869065942e-19,18.5486805376547
AT5G19890,1623.98205329363,-2.68376502460944,0.278671205747466,-9.63057886591086,5.93939374806231e-22,1.11715046906262e-18,17.9518883277953
AT2G28670,1985.96975821343,-1.69036525490698,0.179505695325844,-9.41677784561978,4.65142962564646e-21,8.07595523695894e-18,17.0928060969096
AT2G34810,233.430354984116,2.25741944167592,0.243521055437681,9.26991482366343,1.86294633418273e-20,3.00346869348846e-17,16.5223768905407
AT3G02850,170.861663764964,-2.64383734074812,0.294594643552716,-8.97449223402128,2.84661719301696e-19,4.28339977757239e-16,15.3682113902097
AT2G25900,1487.7108719176,-1.36795466174694,0.15330918271358,-8.92284883093156,4.54444833822498e-19,6.41079646512976e-16,15.1930880112108
AT5G59780,1291.39673724199,-2.53271163473914,0.284751928998949,-8.89444943759622,5.87096329385456e-19,7.7949125003289e-16,15.1081887555024
AT3G01260,518.454452556752,-2.41482488638338,0.273153456027562,-8.84054304676165,9.52544789404779e-19,1.19443824675863e-15,14.9228362986435
AT4G08290,529.991442947328,-1.85790150971225,0.213459412252657,-8.70376944312573,3.21038916459228e-18,3.81377335968486e-15,14.4186451192509
AT4G01430,208.943331801996,-2.94964864209263,0.34079340986798,-8.65523967507263,4.91876939825142e-18,5.55107720439664e-15,14.2556227324573
AT5G56870,7107.11489826759,-1.39227477720565,0.163201061359321,-8.53103996756657,1.45037912850561e-17,1.55888130045239e-14,13.8071869524963
AT5G62210,226.272816973927,3.62726056325404,0.43148905946256,8.40637898854717,4.22863196228372e-17,4.33838418275936e-14,13.3626719919565
AT1G10070,353.211022317786,-2.47493704783066,0.295111441562065,-8.38644897917369,5.01047021997673e-17,4.9170140580476e-14,13.3082985500333
AT2G47160,2622.97807949155,-1.50790283944611,0.181550276805274,-8.30570388533995,9.92294214835027e-17,9.33211363460058e-14,13.0300199815607
AT5G43540,269.214044529857,-2.87385978915326,0.347472826545028,-8.27074686020329,1.33122430381449e-16,1.20188255045587e-13,12.9201379700879
AT2G28671,2124.8660407794,-1.59715238693004,0.197783675352599,-8.07524879939012,6.73392000884416e-16,5.84581955844698e-13,12.2331545940385
AT1G03090,1049.30573785658,-1.49062292605021,0.185049527061096,-8.05526471601338,7.93069834174352e-16,6.62977008412937e-13,12.1785015323683
AT3G16340,997.735469824303,-1.52072909767274,0.189024542109184,-8.04514102086458,8.61461646873663e-16,6.78053014053296e-13,12.168736349185
AT3G21560,2159.35149130253,1.21791741562321,0.151411337744603,8.04376629759104,8.71185920320127e-16,6.78053014053296e-13,12.168736349185
AT4G00910,374.084801172938,-2.09558042991687,0.262949871733774,-7.96950542740162,1.59310633746894e-15,1.19860010476705e-12,11.9213256886788
AT3G16770,5926.93540164425,-1.33821112064325,0.169417006692671,-7.89891845433686,2.81333854209023e-15,2.04838271721027e-12,11.6885888970887
AT1G31050,191.79198984229,-1.96782041223655,0.249790334749455,-7.87788852683317,3.32959556265208e-15,2.34850942014438e-12,11.6292076934716
AT2G16990,76.6920382754627,-2.58359136690664,0.32946280294429,-7.84183022732162,4.44026435065325e-15,2.94849534270358e-12,11.5303995538756
AT3G55120,274.331235443926,2.44869273141327,0.312261738452749,7.84179561526331,4.44148870904797e-15,2.94849534270358e-12,11.5303995538756
AT1G70850,3553.36605549373,-1.52663842879336,0.195155110084405,-7.82269256558583,5.17052728726012e-15,3.33439918287852e-12,11.4769824091439
AT1G44800,2506.81336694073,-1.78920508748185,0.229063930638669,-7.81094204789572,5.67621114550216e-15,3.55882671569804e-12,11.4486931578934
AT3G46130,251.655577021503,-2.60161583336184,0.335153350362727,-7.76246404980342,8.32949870550735e-15,5.08121933194612e-12,11.2940320582686
AT2G33830,4196.1218371778,-1.85174584789076,0.240343904148668,-7.70456756309217,1.3128710496586e-14,7.79810854259057e-12,11.1080107241211
AT1G18880,786.448818854735,-1.74434367935132,0.227021838525895,-7.68359418934206,1.54686139239702e-14,8.95236115071621e-12,11.0480624060821
AT2G23010,267.650553330043,1.65492132742272,0.21650501964567,7.64380119283674,2.10900964634425e-14,1.1900614181909e-11,10.9244306244116
AT4G31910,671.702777283033,-2.09024549473327,0.273663406528026,-7.63801606233097,2.20594347439631e-14,1.21439878440486e-11,10.9156386761707
AT3G14260,199.487526171138,-2.11090300548249,0.277108761505005,-7.61759748778051,2.58440711382805e-14,1.38887268967173e-11,10.8573375618269
AT3G18560,170.989507031742,-1.71863504430862,0.22885725331572,-7.5096376427173,5.9291249161806e-14,3.11223903449098e-11,10.5069270545571
AT2G23130,294.85989642535,1.60556771867798,0.215246209781767,7.45921482336824,8.70395967746298e-14,4.46493349727311e-11,10.3501850053045
AT5G65800,794.395186118778,1.64368860979047,0.221271562462049,7.42837711046752,1.09938152461156e-13,5.5142534204461e-11,10.2585132787503
AT1G65060,353.693011419814,2.77210883059127,0.375045646299703,7.39139050923965,1.45301186162748e-13,7.12955015843342e-11,10.1469378712524
AT1G31770,1633.71976596754,-1.79501206972714,0.243659845760313,-7.36687682012605,1.74671739531916e-13,8.38833155952104e-11,10.0763244118232
AT2G38400,823.029790628339,-1.55374301530266,0.211018404548515,-7.36306872676328,1.79729777179827e-13,8.45141833484556e-11,10.0730704007181
AT5G57685,777.411265014412,-1.74054067398918,0.236657481605087,-7.35468265015022,1.91381250015529e-13,8.81564529408266e-11,10.0547458923945
AT5G26670,262.954541008706,1.68254473577597,0.230432257351216,7.30168924748888,2.84177006592627e-13,1.28283184316044e-10,9.89183026831233
AT2G32150,1804.66272113763,-1.29255659503227,0.178240107591374,-7.25177185145972,4.11354382429903e-13,1.82052544427948e-10,9.73980324684102
AT1G55210,3084.3375955847,1.39058202243842,0.192210670745822,7.2346764986701,4.66640110739213e-13,2.02548729605669e-10,9.69347047638549
AT3G62040,805.32463880834,-2.18911584513833,0.302941686057869,-7.2261954887257,4.96712596254395e-13,2.11533962453924e-10,9.6746198953234
AT4G30460,145.499437924242,-2.18898623645786,0.30377415988684,-7.20596589674804,5.7633827557975e-13,2.40898726261306e-10,9.61816549630364
AT2G40900,655.235472678759,-2.04297833021421,0.284897882854896,-7.17091439831703,7.44984779279389e-13,3.05728208238456e-10,9.51466448892478
AT1G19530,9129.34933270815,-1.86669606679001,0.26124281720411,-7.14544455908063,8.97050919921146e-13,3.61559577027503e-10,9.44182013034055
AT3G48740,5266.74185017956,-1.77465235513287,0.248629174459056,-7.13774784875504,9.48724571880015e-13,3.69201074343169e-10,9.43273704388494
AT5G65210,1636.64350692934,-1.27243978293193,0.17825429023601,-7.13834029602999,9.44645373446517e-13,3.69201074343169e-10,9.43273704388494
AT1G10522,5248.54554543109,1.64882747755053,0.232233497342558,7.09986929714281,1.24874930639377e-12,4.67701724077933e-10,9.33003102915895
AT2G28960,281.483313556362,-1.75953528880663,0.24784886612181,-7.09922670351,1.2545687052552e-12,4.67701724077933e-10,9.33003102915895
AT5G10580,1132.30515292395,-2.26094378689916,0.31852393585953,-7.09819116355588,1.26400271005954e-12,4.67701724077933e-10,9.33003102915895
AT1G51890,157.712637312696,-1.73973589743815,0.245266568551984,-7.0932451483677,1.31003090902102e-12,4.76914639476022e-10,9.32155934616317
AT1G65970,5558.07457891797,-1.78991372574044,0.252474759594426,-7.08947590886213,1.3462083274748e-12,4.82305843800534e-10,9.31667747596958
AT1G55020,1780.66363920307,1.12495038164302,0.159644397966648,7.04660104564421,1.83341001784164e-12,6.42728861683464e-10,9.1919721976959
AT4G03210,1050.59397640694,2.33645214045888,0.33163383055993,7.04527682388138,1.85093154975079e-12,6.42728861683464e-10,9.1919721976959
AT1G61820,397.726937514779,-1.57346894994287,0.22352759939123,-7.03926027134079,1.93263075992226e-12,6.6093043760917e-10,9.17984424724999
AT1G15580,81.2574308274255,2.71288851385869,0.385511378460399,7.03711658185821,1.96258645005925e-12,6.61157294989362e-10,9.1796952058408
AT4G33420,968.073962690403,-1.70698603312693,0.245669267289886,-6.94830921245313,3.69690021434597e-12,1.22709904026475e-09,8.911120383561
AT1G06360,1400.64142271842,1.25575758656298,0.182952130605335,6.86385877228129,6.7024895876401e-12,2.19249119540036e-09,8.65906214199691
AT5G10625,448.26784580903,-2.05716350377292,0.300023096890406,-6.85668378566324,7.047739470759e-12,2.27249325135002e-09,8.64349739783352
AT1G02800,1691.29794120695,1.89530767679158,0.278399092497502,6.80788022614902,9.90472691025738e-12,3.14872663509041e-09,8.50186504213423
AT5G59130,90.238633084489,2.6322395961332,0.386932056147739,6.80284704849617,1.02571533782126e-11,3.21547512360608e-09,8.49275484597
AT2G36120,750.038626693898,-1.64082153381192,0.242646701138501,-6.76218356199846,1.35927329401421e-11,4.16081988896437e-09,8.38082108327504
AT5G03380,1908.93363989825,-1.21289304727906,0.179377851589448,-6.7616655932254,1.36414280175164e-11,4.16081988896437e-09,8.38082108327504
AT4G16000,53.2214052740241,-2.74848208983511,0.406660918595373,-6.75865804692642,1.39275668886925e-11,4.19145482992905e-09,8.37763520974343
AT2G18700,1747.84948795973,-1.21495954792588,0.18049870684309,-6.73112605167889,1.68355033925657e-11,4.99992298781055e-09,8.30103668490928
AT3G25700,726.803504613755,1.15167913038409,0.171314477871166,6.72260246008039,1.78507127720024e-11,5.23257711658268e-09,8.28128436240456
AT3G13730,224.726016930039,-1.97979733758233,0.295149224905708,-6.70778430204186,1.97601720772061e-11,5.64565625259013e-09,8.24828556829821
AT5G40450,17833.0450559685,-1.04625705874369,0.15597278010205,-6.7079464638583,1.97382314456896e-11,5.64565625259013e-09,8.24828556829821
